Instruction,Output
Describe why people like to say makan instead of eat.,"Makan just feel more shiok and local. When you say “Let’s go makan,” got vibe of sharing good food, not just filling stomach. Also sound more casual, not so atas."
Explain what spoil market means in a class project.,"If one group member chiong until project super nice, others look quite normal, people say they spoil market. They set standard so high until other groups look like CMI. Next time everyone stress because must match that level."
Describe why some people always sabo birthday person during celebrations.,"Some friends like to sabo birthday person with surprise cake smash or embarrassing song. They think fun and steady, create memory. But if overdo, birthday person might buay tahan and feel it’s too much kaypoh nonsense."
Explain why someone might say they are just giving eye power during a move.,"If got big furniture to shift but you stand one side watch only, you are using eye power. Means you not helping physically, maybe just comment, “Eh careful ah.” Others do the hard work, you just enjoy show nia."
Describe why bo chap attitude in relationships can be dangerous.,"If in relationship you always bo chap about other person feelings, never reply, always pang seh, sooner or later they sian. They feel kena taken for granted, then slowly stop caring. One day they just say bye bye lor."
Explain what chope means when used in school canteen.,"Students go recess, first thing throw book or water bottle on table to chope. Means they secure the seat liao, later then buy food. If you clear their thing, confirm drama."
Describe why someone might feel paiseh asking for help in class.,"They worry people think they siao or catch no ball, so they keep quiet. But inside they struggle until sian. Actually ask question better than pretending steady then exam jialat."
Explain what kaypoh auntie stereotype is about.,"Kaypoh auntie always know neighbour’s business, who come home late, who steady with who. They ask a lot of personal question, sometimes well-meaning, sometimes too much. People love and fear them at same time lah."
"Describe why someone might say “come, I clap for you” sarcastically.","When someone finally do basic thing but act like hero, others might say “Come, I clap for you” to poke fun. It’s like, you supposed to do already lah, no need behave like you huat big lotto prize."
Explain what ulu shopping mall experience feels like.,"Ulu mall maybe far from MRT, shops half empty, escalator also quiet. Go there feel like ghost town, but good for people who hate crowd. Some say good to lepak and not kena see half your school there."
Describe why kiasu students chiong to front of lecture hall.,"They takut cannot hear or miss notes, so chiong to front and chope best seats. Sometimes they even come super early. Others eye roll but secretly wish they had that discipline also lah."
Explain what it means to act atas during group outings.,"Act atas means only want go classy cafe, never want hawker, complain place looks “too local”. They talk like they high SES and everyone else low. Friends may joke but inside a bit sian one."
Describe why someone might go lepak at void deck.,"Void deck got shade, breeze, and free seats. People go there to chit chat, play guitar, or just stare into space when life sian. As long as not noisy at midnight, most people bo chap lah."
Explain why we use the phrase can or not when checking with someone.,"“Can or not” is like casual way to ask if okay, possible, or acceptable. It’s softer than ordering, but stronger than simple question. You say, “Help me print this later can or not?” sounds more friendly."
Describe what bo liao prank looks like among friends.,"Bo liao prank maybe like changing friend’s phone wallpaper to something siao, or pretending to pang seh then show up with cake. No serious harm, just for laugh. But must know limit, if not become real sabo."
Explain why someone would say alamak after forgetting their keys.,"When realise mistake, the shock plus regret come out as alamak. It’s like “oh man, how can like that.” Especially when you already downstairs then realise, the feeling jialat."
Describe what act blur but actually steady means.,"Some people pretend blur blur, keep quiet, let others talk. But when things serious, they suddenly come out with solid idea. They low profile steady, not eye power type."
Explain why diam sometimes used to calm noisy group.,"If everyone talking loudly and situation messy, someone might shout “Eh diam lah!” Means stop talking, keep quiet. Little rude but sometimes needed when people cannot hear instructions."
Describe why tapao is such a common phrase during lunch time.,"Tapao means you bring food back instead of eating there. Here people always rushing, meeting this, class that, so tapao and eat at desk. One word settle, no need explain long long."
Explain what jia lat means when exam results are terrible.,"When results come back way below expectation, you look and straight say jia lat. Means situation bad until cannot hide. Time to chiong extra hard or else future also jia lat."
Describe why people say lepaking at home is important self care.,"Every week out chiong also tired one. Some days just lepak at home, wear comfy clothes, order makan, watch drama. That reset time shiok, help you avoid burnout, not bo liao hor."
Explain what buay tahan traffic jam situation feels like.,"Stuck in jam half an hour, car all around, radio repeat same song, you sure buay tahan. You see bike zoom past you even more tulan. Only thing you can do is sigh and say aiyoh lor."
Describe why someone might call another person siao when hearing their plan.,"If friend suddenly say want quit job tomorrow and move to jungle, you might say “You siao ah?” Means idea very extreme or unrealistic. Sometimes joking, sometimes really worried."
Explain why people say chope already cannot anyhow take seat.,"Once someone chope with tissue or small item, unspoken rule is you respect that. If you anyhow sit, later owner come back will stare and say “Bo eyes ah?” Then you paiseh need to move."
Describe why someone might arrow junior staff to do sai kang.,"Senior bo liao want free ride, so arrow junior to do all boring admin or late night tasks. They act atas, say they busy with “strategy” while junior shag. Good senior will share, not sabo."
Explain what bo chap government means in casual complaints.,"When people say government bo chap, they feel their feedback not heard or action very slow. Sometimes it’s just venting after long queue or confusing form. Of course, real situation more cheem than just one phrase."
Describe why kaypoh neighbour always know who pang seh who.,"Neighbour see who come back late, who suddenly stop visiting, who look sian at lift. They piece story together from small clues. Sometimes they buay tahan must share with others, become mini gossip channel."
Explain what lepak but productive day could look like.,"Lepak but productive means you own time own target do light tasks – fold clothes, clear email, plan week – while chill music. Not hardcore chiong, but end of day still feel shiok because got things done."
Describe why someone would say tapao coffee for me boleh.,"They mixing languages but meaning simple: please help me buy and bring back coffee. Boleh adds friendly tone, like “can help or not?” but less fierce. Feels like casual favour among friends."
Explain what sian half means after long meeting.,"Sian half is when energy drop until half tank or less. Long meeting that go round and round, no outcome, everyone just nod. By end you stare at wall thinking, “Why I here ah?”"
Describe why people get kilat excited when friend say got good lobang.,"If friend say got lobang for cheap flight or concert ticket, ears all perk up. Good lobang means can save money or skip queue. But must check no hidden sabo, if not later jia lat."
Explain what pang seh king means in a clique.,"Pang seh king is that one friend who always last minute cancel with lamest excuse. At first still steady, later everyone expect them to disappear. Slowly people also bo chap their RSVP liao."
Describe why someone might act atas about kopi orders.,"They insist on special brew, single origin, precise temperature, look down on kopitiam kopi. Others just want strong coffee, see them like this will say, “Wah, so atas ah, normal kopi o also cannot?”"
Explain what shag already means after whole day walking overseas.,"Tourist walk whole day shopping, sightseeing, carrying bags. At night legs jelly, back pain, they say “I shag already lah.” Means totally no more energy, tomorrow maybe also sian."
Describe why someone say can meh when friend propose risky plan.,"Can meh shows doubt – like friend suggest ponteng class to go JB then rush back. You worry traffic jam, kena caught, so you ask, “Can meh?” Meaning this plan really wise or not."
Explain what CMI boss means in office gossip.,"CMI boss maybe indecisive, always arrow work wrongly, make team chiong then last minute change direction. Staff complain behind back, say this boss really cannot make it, cause everyone shag and sian."
Describe why someone might say “bo chap lor” when giving up on argument.,"After explaining many times and other person still catch no ball, very tiring. So you just say bo chap lor, meaning you don’t care anymore, let them think what they want. Emotionally tap out already."
Explain what it means to lepak with friends under the block.,"Lepak under block means sit downstairs, drink bubble tea, talk cock sing song. Nothing fancy, but can destress, share story, sometimes rant about work or school. Cheap and shiok way to hang out."
Describe why colleagues complain about eye power during office move.,"When company move floor, some colleagues carry boxes until shag, others stand and watch. Those who only eye power, maybe play phone or talk. Movers and hardworking staff will whisper, “Wah, their eye power damn strong hor.”"
Explain what kaypoh colleague behaviour looks like.,"Kaypoh colleague always ask who getting promotion, who kena scolding, who resign. Some info helpful, but often they spread half-baked rumours. End up office politics become more jialat."
Describe why someone says steady lah after friend solve a big problem.,"When friend settle tough issue, like help you appeal fine or debug cheem code, you feel impressed. You tell them “Steady lah, you save my life,” as compliment. Means you really respect their capability."
Explain what spoil market intern means in a company.,"Spoil market intern come in and straight away chiong, stay late, do very solid work. Boss use them as example, then full-timers stress. People joke that intern like that, rest of us how to survive sia."
Describe why some people bo chap about health until jia lat.,"They makan anyhow, sleep late, never exercise, keep saying “aiyah later then see doctor lah.” By the time body give warning, condition already serious. Then they regret but too late to act blur liao."
Explain what buay tahan heat wave situation feels like.,"Weather super hot, aircon spoil, fan also like blowing oven air. You sweat just sitting there, whole body sticky. People keep saying “Buay tahan leh, when rain coming ah?”"
Describe why chope culture can confuse tourists.,"Tourists see tissue packet on table but think rubbish, so they sit. Local come back, see their seat taken, a bit tulan but have to explain. For them, chope is normal; for visitors, the idea quite siao."
"Explain what act blur, live longer means.","Phrase joke that if you act blur at right time, you avoid drama and extra work. Not every battle you must chiong. Pretend never hear gossip, do your job quietly, sometimes life really more peaceful."
Describe why some people always lepak but still do well in exams.,"They look like lepak, slack, own time own target. But maybe they secretly study steady, or pay attention in class. Outside image bo chap, but inside got system. That’s why cannot always judge by surface."
Explain what it means when someone kena sabo to give speech.,"They never plan to talk, but friends push them on stage, say “You go lah, we support you.” Suddenly must diam, think fast, then give speech in front of crowd. Heart beat fast, but after that quite shiok also."
Describe why someone might say friend very kiasu but in a good way.,"Kiasu friend register for course early, book best seats, check exam format long before others. Some say they overdo, but when you need info, this friend is your huat lobang. So their kiasu help whole group."
Explain what bo liao office politics looks like.,"Instead of doing work, some people spend energy complaining, forming clique, sending cryptic emails. All this drama bo liao, but affects morale. Better use time to improve processes than act like soap opera cast."
Describe why students chiong last minute after weeks of bo chap.,"Throughout term they ponteng, lepak, say still got time. When exam timetable come, they see jia lat, then chiong overnight mugging. This cycle repeat every semester one."
Explain what shag until cannot means after physical training.,"PT super intense, running, push-up, circuit until muscles jelly. After finish, you feel shag until cannot even climb stairs. Just want lie down there and say “I CMI already lah.”"
Describe what atas hobby might look like.,"Atas hobby maybe like wine tasting, yachting, or collecting limited edition watches. Normal people hear the price already siao. They post online, others see and type “wah so atas sia.”"
Explain why people say paiseh lah when turning down invitation.,"They feel bad rejecting, so they add paiseh lah as softener. Means they appreciate being jio-ed but really cannot, maybe too shag or got other plan. It’s like small apology wrapped in one word."
Describe why someone might be called bo chap boyfriend or girlfriend.,"If partner forget anniversaries, always late, never check in, people say they bo chap. Relationship become one side chiong, other side eye power only. Sooner or later, more caring person burn out."
Explain what kena suan means among friends.,"When you say or do something silly, your friends will suan you – tease you in playful way. You kena suan but know they joking. If you buay tahan everything, hard to hang out lah."
Describe why leh can make statement sound less fierce.,"“You late again” sounds quite fierce. “You late again leh” softer, like adding a cushion. Leh shows you a bit unsure or giving chance, not full-blast scolding."
Explain what it means when someone says they lepak until bo liao already.,"They relax so much until boredom kick in. Whole day scroll phone, nothing happening, they start to feel sian, like “I lepak until bo liao already, need do something useful liao.”"
Describe what ponteng meeting behaviour looks like at work.,"Ponteng meeting means you just don’t show up, no notice, maybe pretend forgot. Colleagues there discuss important issue, you later act blur ask “Eh what happen just now ah?” Confirm people buay tahan."
"Explain why someone might say “Ugh, jia lat, kena arrow again.”","They already overloaded, but boss still assign them another sai kang task. They feel it’s unfair but cannot diam or they look bo chap. So they complain to friends, “Jia lat, kena arrow again lor.”"
Describe what makan warrior lifestyle means.,"Makan warrior always hunting for nice food, new cafe, hidden hawker gem. They die die must try everything, even if must travel to ulu corner. Waistline maybe jia lat, but life very shiok for tastebuds."
Explain what bo jio culture shows about friendships.,"Bo jio teasing shows that being included matters. Even if you cannot go, being asked means people remember you. If group always forget or exclude you, then bo jio not joke anymore, really pain."
Describe why someone might say friend’s room is so messy until CMI.,"Room got clothes mountain, old cups, cables everywhere, you cannot even see floor. First reaction is “Wah your room CMI lah.” Means totally cannot make it, must serious spring clean liao."
"Explain what it means when someone say “eh, don’t geh kiang leh.”","They warning you not to act smart in area you not familiar with. Maybe you want DIY electrical work without experience. Friend see already scared you kena electrocute, so say don’t geh kiang."
Describe why people shout huat ah during yusheng tossing.,"Everyone want new year more bonus, good health, maybe 4D number steady. So they shout huat ah while tossing high, like sending wish upward. The higher you toss, the more shiok they feel."
Explain what kaypoh journalism style looks like online.,"Kaypoh style article focus on gossipy angle, who date who, who pang seh who, more drama than fact. People still read because shiok kaypoh, but sometimes info half-cooked, must be careful."
"Describe why someone might say “alamak, bo steady leh” after being betrayed.","If friend promise support but last minute pang seh for better deal, you feel suan. You say “alamak, bo steady leh” meaning they never hold to their word, quite disappointing."
Explain why lepak corner at school canteen is always crowded.,"Got certain table always same gang, noisy but friendly. People know that corner for chill, talk cock, maybe bo liao jokes. That’s lepak corner, so crowd naturally form there during break."
Describe what sian 1/2 and sian 3/4 style of speech means.,"Sian 1/2 means already quite bored or frustrated. Sian 3/4 means jialat level boredom or frustration, like power-up version. It’s dramatic way to show your mood."
"Explain why someone would say “don’t arrow me lah, I very shag already.”","When new task appear, they already overloaded, energy low. So they beg not to be chosen, using arrow as joke. Means if you push more work to them, they confirm CMI."
Describe why buay tahan weather makes people chope seats indoors.,"When outside hot until siao, everyone rush to chope seats inside aircon area. They prefer squeeze inside than sit at hot ulu corner. One second slow, all indoor tables gone liao."
Explain what it means to act blur about office gossip on purpose.,"If colleagues gossip but you pretend bo chap and catch no ball, you avoid being pulled into drama. Acting blur protects you from kaypoh politics and possible sabo. Sometimes best to diam, smile and continue work."
Describe why some people like to gei siao complain even when they happy.,"They act siao complain “aiyah food so-so only lah” but actually keep eating happily. It’s just style, not serious. Gei siao means playing around with expression, not real anger."
Explain what pang seh-ing a group chat looks like.,"When group planning event and one person never reply, never vote, just ghost. Then suddenly event day they ask, “Eh what time ah?” Everyone roll eyes and say this one always pang seh group chat."
Describe why someone would say “this project jia lat if we keep bo chap.”,"If deadline coming and team still lepak, push things own time own target, soon work pile up. Person warn that if they continue bo chap, project quality and result will be jia lat."
Explain what chiong ah moment means in games or sports.,"When last few minutes or final boss, team shout “chiong ah!” and go all-in. It’s that full power, die die must try energy. Win or lose also, at least no regrets."
Describe why kaypoh relative always ask when you getting married.,"Family gathering, they bo liao got nothing to talk, so they kaypoh about your relationship status. They think just caring, but you hear until buay tahan. Sometimes you just act blur and smile nia."
Explain what lepak then mug strategy looks like in uni.,"Some students lepak first few weeks, join CCA, chill. After midterm jialat, they suddenly mug hard, study group every night. This roller coaster pattern quite common, but stress level also high lah."
Describe why ulu bus stop at night feels spooky.,"At night, ulu bus stop got few people, dim light, maybe insect sound. Wait for bus like eternity, you start imagine siao things. When bus finally come, you huat ah and quickly hop on."
Explain what spoil market gift means during birthday exchange.,"Budget say $20 but one friend buy $80 present and insist “never mind lah.” Everyone else gift look CMI liao. Next year people more stressed, feel they must match or look cheap."
"Describe why someone might say “alamak, kena sabo again for performance.”","Company event coming, MC sabo you to sing or dance like last time. You paiseh but people cheer. Inside you feel alamak, kena again, but maybe secretly also enjoy the attention a bit."
Explain why kaypoh plus kiasu combination can be dangerous in office.,"Kaypoh-kiasu person wants all lobang and info, and also want to look best. They might sabo others, hoard updates, arrow work away from themselves. Team morale sure sian if too many like that."
Describe what buay tahan group project partner means.,"Partner never reply, show up late, contribute bo liao slide, but still want same marks. You end up chiong big portion. See their name on cover page also buay tahan."
Explain why people say steadier lah after someone improves.,"If person used to CMI but now work better, you might say “Now steadier lah.” Means they still got room to grow, but already not as jialat as before. Encouragement with local flavour."
Describe what it means to lepak and talk cock till morning.,"Group of friends sit one corner, share lame jokes, old stories, maybe kaypoh updates. Time fly, suddenly see sky turn bright. That’s talk cock session till morning, no agenda, just feelings and nonsense."
Explain why someone might gei kiang and kena scolded by boss.,"They try to change system or email big client without asking, think they hero. But because never align, whole thing backfire. Boss see and scold, “Next time don’t geh kiang can?”"
Describe what act atas cafe hopper behaviour looks like.,"They only go certain hipster spots, take photo of latte art, comment on ambience like food critic. Hawker centre kopi they say too low class. Friends joke they become atas cafe reviewer liao."
Explain what makan until cannot tahan means.,"Buffet too shiok, you keep makan even after full. Eventually stomach so bloated you say “cannot tahan liao.” You walk also slow, only want lie down and regret a bit."
Describe why someone might bo chap safety rules until accident happen.,"They think rules very troublesome, so never wear helmet or fasten belt. After suay incident, they kena big scare. Then they stop acting bo chap and follow instructions more steady."
Explain what kaypoh colleague at pantry usually does.,"Pantry time, they pretend make kopi but actually listen who complaining about who. Small news become big story. After that, whole office know you buay tahan your project already."
"Describe why someone say “act blur, kena whack” as warning.","They mean if you pretend not to know and avoid helping, people will eventually get angry. You cannot always siam responsibility by acting blur. One day someone lose patience and scold you jialat jialat."
Explain what lepak at library strategy is for some students.,"They go library with textbook, but end up half the time scrolling, half the time reading. Still better than home where bed keep calling. So they lepak-plus-study, at least got some progress."
Describe why someone say “this joke too bo liao already” after long teasing.,"When teasing go on too long or too lame, people feel bored instead of amused. They say joke bo liao, meaning no substance, can stop liao. Time to move on to new topic."
Give some advice for handling a super long queue at the hawker centre.,"If queue really jialat long, you just relax a bit lah, slowly scroll phone, chit chat, don’t buay tahan until show black face. Worst case, if too hungry and time tight, change stall lor, Singapore so many makan place, sure can find something else one."
Share tips for surviving a busy exam week in school.,"Exam week ah, don’t last-minute chiong until siao, later brain shag and catch no ball. Plan your revision, sleep enough, and remember take short breaks go lepak downstairs a bit, then come back mind more steady one."
Explain how to politely reject a friend’s invitation when you’re very tired.,"If really shag already, can just tell your friend honestly, “Today I super tired leh, next time can?” Add one more “paiseh ah” then suggest another day, like that they won’t feel so pang seh lor."
Give some advice to a junior starting their first internship.,"First internship don’t act blur and hide in corner, but also don’t geh kiang and anyhow promise. Ask questions, note down things, help where you can, then slowly your colleagues will say you quite steady one."
Share how to stay motivated for a long-term project.,"Long-term project sure got sian days one, so break it up into small milestones, finish one then reward yourself a bit, maybe nice kopi or short lepak. Don’t kiasu compare with others too much, focus on your own pace can already."
Explain how to handle a groupmate who always comes late.,"If groupmate every time late until whole team buay tahan, must talk properly lah. Don’t straightaway scold, just tell them timing very tight, ask can adjust anot, and agree on clear deadline so they also no excuse later."
Give tips for saving money while still enjoying food.,"You want eat shiok but wallet still okay, then maybe weekday go kopitiam or coffeeshop, weekend then treat yourself atas a bit lor. Also can share big dishes with friends, split bill, still huat but not so pain."
Describe how to manage stress before a big presentation.,"Before presentation, heart sure pump fast one, but you can practise with friends first, let them kaypoh and give feedback. On the day, breathe slowly, tell yourself “ok lah, I prepared already”, then just whack steady lah."
Suggest ways to make new friends in a new class.,"New class first few days a bit awkward lah, but can start by asking simple things like “Eh, you from which school ah?” or “What CCA you joining?” Slowly, makan together, group project together, friendship will come one."
Explain how to stay focused when studying at home.,"At home got bed, got fridge, got Netflix, very easy ponteng your own study plan. So choose one corner as study spot, put phone far away, and tell yourself one hour chiong, then can lepak 10–15 minutes, like that more tahan."
Give some advice for handling a difficult teammate at work.,"If teammate attitude a bit jialat, don’t straight sabo them to boss lah. Try talk one-to-one first, explain how the behaviour affect team, use “we” not “you”, see can improve anot. If really cannot, then get manager help.”
"
",""Event sure will got suay moment one, sound system spoilt, food late, all also possible. When happen, no need aiyoh until panic, just see what can fix first, what can tapao as backup, solve step by step then still can look steady.""
""Explain how to plan a one-day outing with friends on a budget.","First decide budget properly, don’t act blur later say no money. Choose free or cheap activities like park lepak, board games at home, then one solid meal outside. If everyone align expectation, nobody feel spoil market."
Give tips for balancing school and CCA commitments.,"You want CCA life shiok but grades also cannot CMI, so must plan timetable properly. Some days focus on training, other days chiong revision. If really clash, talk to coach or teacher early, don’t last-minute then diam."
Describe how to apologise when you accidentally hurt someone’s feelings.,"If accidentally kaypoh or say wrong thing, just own up lah, don’t act blur. Say you’re sorry, explain you never mean it that way, then give them space if they need. Don’t keep defending yourself until they buay tahan."
Explain how to handle relatives who ask very personal questions.,"When auntie start kaypoh, ask salary, ask relationship, you can answer agak-agak only, no need full detail. Smile a bit, joke a bit, then change topic to food or holiday, slowly they also forget the question one."
Give advice for someone who just failed a test.,"Fail one test not end of the world lah, jialat but still can fix. See where catch no ball, ask teacher or friend explain, adjust study method, then next round chiong back. Important is don’t bo chap and pretend nothing happen."
Share ways to show appreciation to your parents without spending a lot.,"No need big atas gift one, sometimes help do housework without people ask also very swee already. Or tapao their favourite makan, or just sit and talk cock a while, they sure feel shiok inside."
Explain how to manage jealousy when your friend is doing better than you.,"If friend doing very well and you start feel a bit siao inside, just remind yourself everyone got own timing lah. Instead of buay song, ask them how they study or work, learn from them. Like that both also huat together."
Give tips for surviving a boring lecture.,"Boring lecture until you want ponteng, but attendance taken, die die must sit there. Try take notes in your own words, maybe doodle small mind map, and ask one or two questions. At least brain not totally shut down lor."
Describe how to be a good lab partner.,"Good lab partner don’t just use eye power only; you help set up, clean up, and share notes. When partner blur, you explain slowly, don’t sabo them during grading. Like that both also look steady to the prof."
Explain how to say no when your friends want to stay out too late.,"If next day got exam or work, but friends still want lepak until 2am, you can just say, “Tonight I need go home earlier leh, if not tomorrow jialat.” Real friends won’t arrow you or call you spoil market lah."
Give advice for using social media in a healthy way.,"Scroll a bit to relax still ok, but if whole day refresh until shag, better set some limit lor. Mute accounts that make you feel sian or kiasu, and remember people only post swee parts, behind the scenes you never see one."
Share tips for dealing with a very strict teacher.,"Strict teacher sometimes just want class to stay on track only. Try to hand in work on time, don’t ponteng, and show that you at least trying. Over time they might also soften a bit and treat you better lah."
Explain how to prepare for a job interview as a fresh grad.,"Fresh grad interview, don’t just go in act blur and hope for best. Read up on company, practise answering basic questions, and prepare some examples of your projects. Dress neat, reach early, then can talk more steady, not so gan cheong."
Give tips for managing time during an exam.,"During paper, don’t spend half the time struggling with one cheem question until sian. Skim through, do easier ones first, then come back later. Also glance at clock once in a while, don’t own time own target until time up."
Describe how to encourage a friend who feels very down.,"When friend very sian, don’t just say “cheer up lah” then disappear. Sit with them, listen properly, maybe tapao their favourite snack, and remind them you still there for them. Sometimes just presence already very shiok to them."
Explain how to stop yourself from oversharing in a group chat.,"Before sending long rant or super personal thing, pause one while, ask yourself later will paiseh anot. If yes, maybe share with one close friend instead. Group chat got many kaypoh eyes, once send cannot take back lor."
Give advice on how to stay safe when going out late at night.,"If need go home late, try don’t walk alone through super ulu place lah. Stick to main roads, let someone know your location, and if can, share ride with friend. Better be a bit kiasu than regret later."
Share ways to handle FOMO when you can’t join an outing.,"Sometimes friends jio you but you really cannot, got family or assignment. You’ll feel bo jio vibes on your own, but it’s okay lah, next time then join. Mute the chat for a while if you buay tahan seeing all the photos."
Explain how to keep the peace when sharing a room with a messy roommate.,"If roommate room always CMI messy until you buay tahan, don’t straight scold. Talk nicely, set some basic rules – like common area must keep okay, rubbish must throw. Compromise a bit, then both sides also not so jialat."
Give tips for staying productive while working from home.,"WFH very easy become lepak mode, later whole day blur blur. Set one proper start time, change out of pyjamas, and make small to-do list. After you clear a few items, you feel more huat and less guilty.”
"
",""If parents super kiasu about marks, you can show them your plan, like how you revise and what support you need. Explain that results take time, not instant magic. Slowly they see you working hard, maybe less nag lor.""
""Explain how to stay patient when learning a new skill.","New skill at first sure catch no ball, feel like CMI. Just remind yourself everyone start blur one, take small steps, practise regularly. Celebrate small improvement, then not so sian and easier to continue."
Give advice for handling gossip in the office.,"Office gossip can be quite kaypoh shiok to hear, but if join too much, later you also kena. Better keep neutral, don’t sabo people, and don’t spread things you not sure. Focus on work, your name then stay clean lah."
Share tips for buying gifts on a tight budget.,"No need spoil market with branded thing; a thoughtful handwritten note plus small gift also very swee. Can tapao some homemade snacks or print a few nice photos. It’s the heart that huat, not just the price tag sia."
Explain how to manage your energy throughout a busy day.,"Busy day don’t chiong everything in morning until afternoon shag. Spread tasks, mix heavy brain work with lighter ones, and take short breaks. Drink water, not only kopi, if not later heart also buay tahan."
Give advice for helping a friend who is always late.,"If friend always late until you jialat, maybe ask them to meet half an hour earlier than actual time. Also can gently tell them how it affects everyone. Real friend will at least try to be more steady lah."
Describe how to deal with disappointments in life.,"Things sometimes really didn’t go your way – lose job, fail module – very sian. Let yourself aiyoh a bit, but after that, think what you can learn and what next step. Slowly adjust, don’t bo chap your own future."
Explain how to be more confident when speaking in public.,"Confidence not magic one lah, it comes from practise. Start with small groups, prepare your points, and accept that a bit nervous is normal. Once you survive a few times, you’ll feel less siao about it."
Give tips for managing your phone usage before bed.,"If every night scroll TikTok until 2am, next day sure shag. Try set one time where you put phone away, maybe read book or just lepak quietly. Your sleep more steady, mood also less sian next morning."
Share advice for a student who just entered poly or uni.,"First semester don’t need act atas or pretend know everything. Explore CCAs, talk to seniors for lobang on modules, but also watch your workload. You blur at first also okay, slowly you will find your way lah."
Explain how to support a friend starting their own small business.,"Friend start business very stress one, got many things to juggle. You can help share their posts, buy occasionally if can, and give honest but kind feedback. Don’t just kaypoh judge from far lah."
Give tips for staying calm when stuck in a traffic jam.,"Jam already, honking also no use lor. Put some music or podcast, breathe slowly, accept that you’ll be late and update whoever you’re meeting. Getting angry just make yourself buay tahan only."
Describe how to avoid overspending during online sales.,"Sale come, everything look swee, but wallet crying. Before sale, list what you actually need, then stick to it. If you see random deal, ask yourself “really must buy meh?” many times, then maybe cart will shrink."
Explain how to organise your study notes effectively.,"Don’t throw all notes into one big pile until you later catch no ball. Separate by subject, use simple headers, highlight only key points. When revision time come, you won’t feel so jialat flipping everywhere."
Give advice for dealing with a boss who loves to micromanage.,"If boss very kiasu and keep checking, you will feel sian, I know. You can pre-empt by sending short updates so they feel steady. Slowly when they see you reliable, they might relax a bit and stop hovering."
Share how to prepare for moving to a new city for studies.,"Going new city sure got a bit kan cheong; make a list of essentials, do some research on neighbourhood, and find local groups to join. Tell yourself first few weeks blur is normal, after that you’ll chope your own comfy routine."
Explain how to stay polite when service is slow at a restaurant.,"Even if food take very long until you hungry until siao, try don’t shout at staff lah. Ask nicely what’s happening, maybe they understaffed jialat. Stay steady, complain only if really over the line."
Give tips for building trust in a new relationship.,"Don’t kaypoh check phone, don’t act blur when you make mistake. Communicate openly, keep your word, and don’t suddenly pang seh plans without reason. Slowly the other person will feel you quite steady one."
Describe how to handle group work when everyone has different schedules.,"Everyone timetable messy, so must sit down and align. Use shared calendar, pick a few times that most can, and divide tasks clearly. If not, end up deadline near, all chiong last minute until shag."
Explain how to encourage younger siblings to study without nagging.,"If you nag too much, they sian and bo chap you. Maybe sit with them, explain the cheem parts, take short snack breaks together. Praise when they do well, then they more huat to continue."
Give advice for starting a regular exercise habit.,"Start small lah, don’t suddenly chiong 10km then next day cannot walk. Maybe 15–20 minutes walk or simple workout at home, few times a week. Once you feel more shiok, then increase slowly."
Share how to avoid drama in a big friend group.,"In big group, confirm have kaypoh talk and mini politics. Try not to sabo people, don’t spread rumours, and if conflict, talk directly instead of side comments. Otherwise friendship circle become very jialat."
Explain how to manage your expectations for your first job.,"First job not always like Instagram stories one, a lot of sai kang also must do. Go in with mindset to learn, not just to huat immediately. Over time, you build skills, then can aim for better role lah."
Give tips for getting enough sleep despite a busy schedule.,"If schedule sibeh packed, still must chope some hours for sleep. Cut down on bo liao scrolling, and plan study or work earlier. No point chiong until 3am then next day brain CMI, right?"
Describe how to cheer yourself up after a bad day.,"After one jialat day, can buy small treat, watch comfort show, or lepak with close friend talk cock. Don’t scold yourself too hard; tomorrow can reset, slowly fix one by one."
Explain how to stay open-minded when meeting people with different views.,"When someone think totally different, no need straightaway say they siao or CMI. Ask them why they feel that way, share your own view calmly. Maybe you catch new angle, maybe agree to disagree, also okay lah."
Give advice for not burning out when taking many modules.,"If you stack too many modules, plus CCA, plus part-time, confirm shag. Plan some rest slots, don’t bo chap your own health. If really too much, drop one module also can, no need kiasu show off."
Share how to create a good first impression at work.,"First few days, come on time, greet people, don’t just hide behind screen. Dress presentable, volunteer for small tasks, and listen more than talk. Colleagues will think you quite steady, not blur blur one."
Explain how to handle it when your friend is angry at you.,"If friend angry, don’t just say they too sensitive and act bo chap. Ask what happened, listen without interrupting, and apologise if you really wrong. Sometimes takes time, but sincerity they can feel one."
Give tips for coping with noisy neighbours.,"If neighbour noisy until you buay tahan, try talk nicely first, maybe they diam a bit. If they still chiong karaoke at 2am, then follow proper channel complain. Don’t go and start shouting match, later situation more jialat."
Describe how to manage your stress during exam results release day.,"Result day heart sure thump thump one. Before you open, remind yourself one set of numbers doesn’t define whole life. If good, huat; if not, then plan how to improve next round or adjust path, don’t straightaway think all gone."
Explain how to avoid misunderstanding in text messages.,"Text easy to sound fierce or blur, so use clear words, maybe add emoji if needed. If topic serious, better call or meet, don’t rely on short messages. When in doubt, ask “you mean this ah?” instead of anyhow guess."
Give advice for handling criticism from your boss.,"If boss give feedback, don’t immediately go defensive or act blur. Listen, ask how you can improve, and show you willing to adjust. Later go see which part fair, which part can discuss more calmly."
